references,language,eng_caption,image_id
Mũndũ ũrarĩithia gĩcagi nĩ ahurũkaga thĩ kũgerera rũgendo rwa njithi.,kik_Latn,A skier slides along a metal rail .,3053415073_5b667230ed.jpg
Omusajja ayambadde sikaati emmyuufu ng'alinnya ejjinja n'emikono egitali gimu .,lug_Latn,A man in a red shirt climbing a rock with his bare hands .,406642021_9ec852eccf.jpg
Imbwa y'umukara yambaye ishati y'ibara ry'umuhondo yanyuze mu murima.,kin_Latn,A brown dog in a pink shirt runs through a field .,977856234_0d9caee7b2.jpg
Ŋutsu aɖe si do tavu dzĩ la le tɔɖim ɖe agakpe aɖe dzi,ewe_Latn,Man in red headband climbing a rock,209605542_ca9cc52e7b.jpg
Nwa agbọghọ na-aga ịnwa ịkụ bọọlụ tennis .,ibo_Latn,A young girl is about to attempt to hit a tennis ball .,2656039837_f46b29af92.jpg
Ọkùnrin kan tó ń ṣeré yìnyín sọ̀kalẹ̀ lórí òkè .,yor_Latn,A man skiing down a snow covered mountain .,3549997413_01388dece0.jpg
Mɔgɔ saba ye mɔgɔ dɔ minɛ ka bɔ kɛlɛbolo wɛrɛ la.,dyu_Latn,Three men tackle someone from the opposite team .,3601491447_a338875b51.jpg
Ọkùnrin kan àti obìnrin kan ń wo ère aláwọ̀ pupa .,yor_Latn,A man and a woman looking at a red sculpture .,434792818_56375e203f.jpg
የሲያትል ስፔስ ኒድል ትዕይንትን እያየች ያለች ሰማያዊ ሴት .,amh_Ethi,Blond woman overlooking Seattle Space Needle scene .,524105255_b346f288be.jpg
Ọmọbìnrin kan ń jó lórí ìtàgé .,yor_Latn,A girl dancing onstage .,3667908724_65c7d112f2.jpg
Umukashana uucina alaposa sana pa cisansa.,bem_Latn,A dancing girl performs a high kick in a parade .,3360730513_211e1a4db6.jpg
Bana babidi bakaya ku ice hockey.,lua_Latn,Two young children play hockey on ice .,2223382277_9efa58ec45.jpg
Mwana uze apwile nachikungulwilo chakulipanga nakushinganyeka muchikalu chakushita.,cjk_Latn,Kid wearing a paper crown sitting in a shopping cart .,2378149488_648e5deeac.jpg
A nwoke na a ojii uwe elu na-awagharị gburugburu n'etiti fencing egwuregwu .,ibo_Latn,A man in a black shirt wanders around amongst fencing players .,3053916979_848d32261b.jpg
Abagabo babiri bari mu kibuga cy'indege barwanira mu kibuga cy'indege,kin_Latn,Two men in midair fighting in a professional wrestling ring .,3181599388_68559cfc17.jpg
Elenge mwasi moko asepelaka na crème glacée elongo na basi mibale ya mikóló na esika oyo eza lokola piere-lokola .,lin_Latn,A young girl enjoys ice cream with two older women in a pier-like setting .,3677964239_6406ed096f.jpg
Omuntu ng'alinnya olusozi olujjudde omuzira .,lug_Latn,A person climbing up a snowy mountain .,2109911919_af45b93ef3.jpg
Omukazi ng'akutte akabonero k'emirembe mu kivvulu .,lug_Latn,A woman is holding out a peace sign during a parade .,3688839836_ba5e4c24fc.jpg
Kind in grys trui wat aan metaalstaaf hang,afr_Latn,Child in grey sweatshirt hanging from metal bar,3589895574_ee08207d26.jpg
Umugore wambaye imyenda y'umukara n'imyenda migufi y'umukara arimo kwiruka,kin_Latn,A woman in an orange top and black shorts is running .,3690189273_927d42ff43.jpg
Umwanakashi uwali pa foni aleenda pa ntanshi ya bantu.,bem_Latn,Lady on a cellphone walking in front of a group of men .,3415228562_4efa9c9b70.jpg
Ahabanza Amakuru Amakuru y'Imyidagaduro,kin_Latn,"Young boy with a black "" ADHD "" t-shirt nodding off",1253275679_e955fb7304.jpg
Dalmatian adduka mu kibira .,lug_Latn,A dalmatian runs through the woods .,2079554580_f18d5c181b.jpg
Omugenzi ng'abuuka ku nnyumba mu kibira ekirimu omuzira .,lug_Latn,The skier jumps over a hut in the snow covered forest .,3255620561_7644747791.jpg
Abasajja babiri ab'amagye nga beegezaamu 'take-down ' maneuver .,lug_Latn,"Two military men practicing a "" take-down "" maneuver .",3520617304_e53d37f0af.jpg
Avu eve le gbea dzi.,ewe_Latn,Two dogs stand in the grass .,2090723611_318031cfa5.jpg
Nwoke na-eje ije n'okporo ụzọ unyi na ụlọ ahịa n'akụkụ .,ibo_Latn,Man walking down a dirt road with stores on the side .,294098577_c10f32bcfa.jpg
Ngui ĩrũgamĩte mũgũnda na mbũri ya tenisi mũromo-inĩ wayo.,kik_Latn,A dog stands in a field with a tennis ball in his mouth .,3185695861_86152b2755.jpg
Ngui ĩrambatĩte igũrũ nĩguo ĩnyiite mũriũ.,kik_Latn,Dog jumping high in the air to catch a Frisbee .,2839807428_efe42423f2.jpg
Muso dɔ tun be fanimuso dɔ don a kaan na.,dyu_Latn,A girl in a green shirt is hanging upside down .,566446626_9793890f95.jpg
A skateboarder na ikuku n'elu ya osisi na a residential n'okporo ámá .,ibo_Latn,A skateboarder in the air above his board on a residential street .,2868575889_2c030aa8ae.jpg
የመኪና ማቆሚያ ቦታ ላይ የሚሯሯጡ የሸፋ ሱሪ ውስጥ ወንዶች .,amh_Ethi,Men in camouflage pants racing across a parking lot .,3463268965_f22884fc69.jpg
Katĩ katindĩaa kũsemba ĩũlũ wa mathangũ.,kam_Latn,A dog is jumping in the air over some leaves .,3019857541_3de3e24f54.jpg
Ngui ĩmwe ya rangi wa mũhuro nĩ ĩrathagathaga gatarũ-inĩ ka iria.,kik_Latn,A brown dog is running along a beach .,488416045_1c6d903fe0.jpg
Katĩ katũlĩka katĩlĩka na katia katĩlĩka na katia.,kam_Latn,A white dog holds a stick while swimming .,475980315_b8ecd50094.jpg
Karnuka ya cinye wuyan wani karnuka.,hau_Latn,A dog bites another dog 's neck .,3656906086_7034f69ab6.jpg
Mwana-a-asa wĩ na ngũa ndune na ũendete kũthaũka.,kam_Latn,A kid in a red sweatshirt ice skating .,3299418821_21531b5b3c.jpg
Nkịta abụọ na-alụ ọgụ maka Frisbee,ibo_Latn,Two dogs fighting over a Frisbee,535529555_583d89b7f2.jpg
Ƙungiyoyi biyu na ƙwallo sun yi gasa .,hau_Latn,Two soccer teams compete .,2959737718_31203fddb5.jpg
'N Skaatsplankryer voer 'n truuk in die lug uit.,afr_Latn,A skateboarder is performing a trick in the air .,3141293960_74459f0a24.jpg
Wani mai wasan baseball yana tsaye yana fuskantar jama'a .,hau_Latn,a baseball player stands and faces the crowd .,905355838_3a43fdfd4e.jpg
Dɔnɔnin dɔ be bɔnna dingɛ kɔnɔ,dyu_Latn,A bird splashing in a puddle,3189521080_133777bce5.jpg
Omuwala atudde ku ntebe enjeru n'omulenzi okumpi .,lug_Latn,The girl is sitting on a white couch with a boy nearby .,3178599352_c57fdebcd2.jpg
Kanbelen dɔ tun be yɛlɛla jii la ka bɔ jii la.,dyu_Latn,A young boy splashing in a small blow-up pool with a green slide behind him .,3758175529_81941e7cc9.jpg
Umukashana uwali mu mashati ya lukungu aleponena pa cilindi.,bem_Latn,A girl in a yellow shirt jumping over a hurdle .,3550255426_4ab03c0d6e.jpg
Abantu babiri bali mu mayengo .,lug_Latn,Two people are in the waves .,3319020762_d429d56a69.jpg
አንዲት ሴት በምግብ ቤት ውስጥ ወይን ጠጅ ንጹህ ብርጭቆ ውስጥ ታፈስስ ነበር .,amh_Ethi,A woman in a restaurant pouring wine into a clear glass .,1798209205_77dbf525b0.jpg
O munzangala ua mu tonoka ku mbandu ia kalunga.,kmb_Latn,The boy is playing on the shore of an ocean .,106490881_5a2dd9b7bd.jpg
